loss_pol_entpen,EpLenMean,loss_pol_surr,loss_ent,ev_tdlam_before,EpRewMean,loss_kl,EpisodesSoFar,EpThisIter,TimestepsSoFar,TimeElapsed,loss_vf_loss
0.0,163.94,-0.07541544,1.0420752,0.6538603007793427,14.74,0.0830742,4806,22,675840,1124.657912492752,133.6832
0.0,167.35,-0.07838252,1.0431644,0.6338969171047211,11.56,0.0906563,4832,26,679936,1131.3518826961517,125.77977
0.0,162.02,-0.071026,1.0270003,0.649392694234848,14.66,0.12504816,4861,29,684032,1138.244354724884,141.40837
0.0,157.95,-0.07630211,1.0338018,0.5900786817073822,5.69,0.09373294,4888,27,688128,1144.906831741333,159.04561
0.0,147.82,-0.07395189,1.0222968,0.62919881939888,14.28,0.0904423,4918,30,692224,1151.5914351940155,121.035774
0.0,144.9,-0.07674693,1.0073631,0.4079773426055908,4.46,0.08292276,4944,26,696320,1158.1911170482635,147.64543
0.0,151.01,-0.07622289,0.99269885,0.7025536596775055,3.04,0.09501089,4972,28,700416,1164.4770283699036,120.903534
0.0,146.32,-0.07388204,0.95830643,0.5831625163555145,-4.4,0.088728614,4998,26,704512,1170.7081711292267,135.01299
0.0,151.55,-0.07409855,0.9510147,0.5812885761260986,5.27,0.09852617,5026,28,708608,1177.184330701828,114.68338
0.0,159.89,-0.07277817,0.9191292,0.612792044878006,3.45,0.10438829,5048,22,712704,1183.87744307518,145.11412
0.0,157.89,-0.077427916,0.8826793,0.7102748155593872,15.9,0.08538018,5077,29,716800,1190.4747779369354,131.72348
0.0,155.84,-0.07987591,0.8456229,0.6657773554325104,21.26,0.09268123,5103,26,720896,1197.192514181137,129.94667
0.0,157.68,-0.08184616,0.7876323,0.5585851669311523,15.75,0.10581655,5130,27,724992,1203.8209972381592,197.9515
0.0,150.36,-0.080099046,0.74008554,0.7159146368503571,33.64,0.09458914,5158,28,729088,1210.3701725006104,165.82986
0.0,151.49,-0.082285665,0.705994,0.7089967131614685,2.3,0.10848894,5186,28,733184,1216.8208203315735,129.42554
0.0,151.01,-0.07428908,0.68983877,0.7251167297363281,-12.99,0.092709936,5212,26,737280,1223.3050587177277,132.3773
0.0,152.41,-0.07011522,0.6524047,0.6635430455207825,-4.52,0.11060445,5237,25,741376,1229.920830488205,141.75734
0.0,154.36,-0.08282142,0.60189825,0.7010988295078278,0.12,0.10567797,5264,27,745472,1236.6847319602966,137.50903
0.0,157.8,-0.071531005,0.59492147,0.693011999130249,6.03,0.102708764,5289,25,749568,1243.5226497650146,148.54825
