EpThisIter,loss_ent,loss_pol_entpen,EpRewMean,EpLenMean,loss_vf_loss,EpisodesSoFar,loss_kl,TimeElapsed,loss_pol_surr,ev_tdlam_before,TimestepsSoFar
41,1.9769611,0.0,23.24,96.33,342.2137,5707,0.0625982,1119.7310719490051,-0.07338416,0.6952065229415894,598016
45,1.9389195,0.0,16.82,95.83,291.86435,5752,0.077350214,1127.5914859771729,-0.06707951,0.7048853635787964,602112
45,1.9091874,0.0,6.17,94.16,404.0813,5797,0.06241328,1135.124389886856,-0.07318037,0.6908712387084961,606208
46,1.8555064,0.0,4.38,90.78,371.26706,5843,0.062112328,1142.2633538246155,-0.07014351,0.7389034926891327,610304
40,1.8379213,0.0,21.15,94.68,374.99603,5883,0.059270516,1149.1573748588562,-0.07534892,0.7494643032550812,614400
36,1.8241674,0.0,19.07,106.5,469.99863,5919,0.068749815,1156.9036223888397,-0.07830487,0.6580933332443237,618496
46,1.779747,0.0,2.95,100.4,346.25394,5965,0.060057312,1164.1462066173553,-0.0752848,0.696008175611496,622592
41,1.7609007,0.0,9.84,97.18,434.0431,6006,0.06692473,1171.767301082611,-0.066481404,0.7248520851135254,626688
41,1.7551494,0.0,7.2,99.39,349.0156,6047,0.058771454,1178.9184744358063,-0.07452015,0.6824423968791962,630784
38,1.7187806,0.0,16.45,100.06,404.8029,6085,0.07198395,1186.5662426948547,-0.078123935,0.6942424178123474,634880
41,1.6866205,0.0,26.15,104.66,398.37607,6126,0.069371775,1194.2208943367004,-0.07519429,0.6911860406398773,638976
40,1.675262,0.0,20.56,104.56,491.5057,6166,0.081783436,1201.5676963329315,-0.06794271,0.6282545924186707,643072
35,1.6548539,0.0,27.67,106.82,444.34814,6201,0.06364378,1208.92010140419,-0.07706496,0.6390733420848846,647168
44,1.6424507,0.0,16.97,103.26,361.3206,6245,0.0745843,1216.152592420578,-0.07140371,0.6674378514289856,651264
38,1.6253438,0.0,25.83,105.09,372.09586,6283,0.067951985,1223.4903202056885,-0.07570637,0.6530652940273285,655360
43,1.6187593,0.0,19.67,97.31,390.30963,6326,0.06694289,1230.2048139572144,-0.0711032,0.6446238160133362,659456
37,1.5841347,0.0,20.92,102.57,388.66153,6363,0.072596975,1237.447987318039,-0.081725866,0.6376430690288544,663552
39,1.5815407,0.0,21.46,105.87,404.5957,6402,0.05687481,1245.023768901825,-0.07771458,0.6646967530250549,667648
45,1.5765058,0.0,33.58,99.68,375.19354,6447,0.06994688,1252.832286119461,-0.07126672,0.6212197840213776,671744
42,1.5524141,0.0,25.71,96.51,452.17258,6489,0.077486,1259.9147341251373,-0.079527885,0.596447080373764,675840
40,1.5473709,0.0,20.2,97.33,359.24573,6529,0.07282931,1267.6275887489319,-0.072627686,0.7325409650802612,679936
36,1.5448933,0.0,12.85,104.85,430.69165,6565,0.07346174,1275.0989327430725,-0.07651274,0.6451195776462555,684032
39,1.5059408,0.0,33.01,106.42,419.37698,6604,0.06640845,1282.4644193649292,-0.07960836,0.6185564398765564,688128
35,1.4893975,0.0,27.94,113.34,287.05685,6639,0.06758634,1289.6429641246796,-0.07595214,0.775729164481163,692224
39,1.4471033,0.0,13.68,109.36,318.05405,6678,0.08298417,1297.037118434906,-0.075540364,0.7547506093978882,696320
42,1.4150951,0.0,23.01,102.86,358.62698,6720,0.07007393,1304.8521604537964,-0.07539226,0.6924778819084167,700416
36,1.3776549,0.0,40.91,103.89,393.30453,6756,0.0731873,1312.2368788719177,-0.0765276,0.6413310170173645,704512
39,1.3240739,0.0,46.3,106.16,322.73987,6795,0.080535196,1320.1086645126343,-0.08041804,0.6337946653366089,708608
43,1.2970726,0.0,40.43,101.8,300.86093,6838,0.06678539,1327.7410588264465,-0.07751334,0.7443360686302185,712704
37,1.2622454,0.0,19.55,103.43,400.70212,6875,0.074871264,1335.2293138504028,-0.07361601,0.6429106891155243,716800
40,1.2609556,0.0,15.78,104.54,377.54382,6915,0.069048606,1342.5778386592865,-0.0761192,0.6285921037197113,720896
37,1.2176903,0.0,8.75,108.73,415.31625,6952,0.071759656,1349.5553336143494,-0.07340393,0.6302973926067352,724992
44,1.175464,0.0,21.03,100.23,400.3547,6996,0.06491263,1357.230374097824,-0.07751391,0.5969053506851196,729088
42,1.1475017,0.0,27.68,96.07,386.75317,7038,0.07421194,1365.2156956195831,-0.075582676,0.6498804986476898,733184
34,1.1262615,0.0,16.81,104.44,399.51312,7072,0.08471124,1372.658174276352,-0.077872746,0.6893482506275177,737280
36,1.1150715,0.0,18.05,112.12,435.82803,7108,0.07916325,1379.7982156276703,-0.07399317,0.6677426397800446,741376
43,1.1124876,0.0,17.96,107.25,406.33258,7151,0.074180685,1387.0150401592255,-0.07638131,0.6817689538002014,745472
43,1.0943654,0.0,21.68,100.47,330.84686,7194,0.08510479,1394.4132750034332,-0.069139585,0.7194975912570953,749568
42,1.0688815,0.0,26.16,94.24,522.78815,7236,0.0729969,1415.0081210136414,-0.075550646,0.569921463727951,753664
40,1.0633624,0.0,19.33,94.97,399.7451,7276,0.08565645,1422.9899456501007,-0.07232145,0.6932455599308014,757760
37,1.0391625,0.0,18.59,102.25,417.05087,7313,0.0829144,1430.765468120575,-0.07836529,0.6011272370815277,761856
35,1.0372419,0.0,21.78,111.31,442.8512,7348,0.07492631,1438.936457157135,-0.0798763,0.5853617191314697,765952
36,1.0003053,0.0,30.0,113.68,406.4159,7384,0.094975345,1446.3819193840027,-0.07913777,0.5531215369701385,770048
39,0.94633466,0.0,36.22,109.62,341.90915,7423,0.074338265,1453.674705028534,-0.07889495,0.5800623297691345,774144
43,0.94131005,0.0,39.53,102.99,394.14185,7466,0.08150878,1460.9191825389862,-0.07449066,0.6775208115577698,778240
43,0.9268827,0.0,30.99,98.46,362.0834,7509,0.07946877,1468.3654119968414,-0.0734287,0.6937654316425323,782336
41,0.9096612,0.0,16.34,96.75,417.52856,7550,0.07786353,1475.6700825691223,-0.07850264,0.6378602683544159,786432
43,0.8744861,0.0,19.93,95.77,359.39557,7593,0.0950588,1483.0418882369995,-0.07478152,0.6472369134426117,790528
38,0.84407777,0.0,9.58,100.64,376.75403,7631,0.090330206,1490.152682542801,-0.07592725,0.6715171635150909,794624
42,0.81384563,0.0,26.62,100.38,420.381,7673,0.091070324,1497.3086729049683,-0.07842112,0.666621208190918,798720
36,0.7949228,0.0,24.25,106.41,447.5474,7709,0.07720822,1505.3025147914886,-0.07820622,0.5862003564834595,802816
41,0.75333667,0.0,26.07,105.03,303.1775,7750,0.09174485,1513.1031591892242,-0.08151548,0.7187379002571106,806912
41,0.7367772,0.0,23.94,102.1,426.81137,7791,0.082166456,1520.9386312961578,-0.07381617,0.6346306204795837,811008
34,0.7115787,0.0,20.47,107.0,338.04883,7825,0.119897574,1528.4129281044006,-0.07087992,0.6729306280612946,815104
35,0.6901587,0.0,5.08,114.81,351.54248,7860,0.08488044,1535.7683973312378,-0.07868748,0.7483017444610596,819200
40,0.65181315,0.0,9.31,110.74,457.12115,7900,0.07820271,1543.1897330284119,-0.071025826,0.6799503564834595,823296
40,0.608025,0.0,27.72,106.01,373.2547,7940,0.08710477,1550.9468188285828,-0.08161556,0.6093549132347107,827392
41,0.59487796,0.0,43.23,99.08,434.4197,7981,0.09294094,1557.920823097229,-0.081557065,0.5378518402576447,831488
36,0.57374704,0.0,46.28,105.01,439.18784,8017,0.10591061,1565.95596575737,-0.07710266,0.5692755281925201,835584
39,0.5391196,0.0,52.46,107.31,306.67004,8056,0.09710028,1573.5242848396301,-0.07535849,0.6239375472068787,839680
42,0.503046,0.0,43.12,105.01,307.20456,8098,0.096121155,1581.106936454773,-0.079453126,0.6642246544361115,843776
37,0.47864676,0.0,34.07,104.21,391.42615,8135,0.09547843,1589.0915956497192,-0.07484696,0.6520462930202484,847872
43,0.471315,0.0,36.57,99.8,381.70142,8178,0.083987564,1595.789558172226,-0.07120675,0.663052886724472,851968
42,0.4285318,0.0,20.57,99.13,302.92322,8220,0.094046794,1602.7460594177246,-0.08304395,0.7063214182853699,856064
40,0.42916492,0.0,19.05,99.9,420.19803,8260,0.09064746,1610.2110171318054,-0.07638942,0.6464412212371826,860160
41,0.3984686,0.0,15.22,99.57,380.74582,8301,0.091350876,1617.6371047496796,-0.076470636,0.6506785750389099,864256
41,0.35320646,0.0,5.14,103.31,404.655,8342,0.0957781,1625.0730428695679,-0.07620225,0.6926546990871429,868352
43,0.33874148,0.0,13.66,99.65,319.40182,8385,0.089008786,1632.4714074134827,-0.0727655,0.6814346015453339,872448
41,0.31657773,0.0,22.66,93.28,430.56326,8426,0.08954634,1639.91828250885,-0.080351114,0.6866632997989655,876544
43,0.2995718,0.0,14.95,95.36,370.412,8469,0.124764726,1647.6917872428894,-0.07968124,0.6435103118419647,880640
42,0.2886887,0.0,33.98,97.96,364.37543,8511,0.099433556,1654.6675686836243,-0.0795858,0.6999635696411133,884736
41,0.27581853,0.0,34.57,96.89,376.2004,8552,0.09987506,1661.8058679103851,-0.07483095,0.7095267474651337,888832
46,0.2646361,0.0,30.52,95.15,434.7961,8598,0.11751316,1669.7862570285797,-0.07355887,0.6503937244415283,892928
42,0.23382688,0.0,16.51,94.07,387.3323,8640,0.083572246,1677.5121080875397,-0.08130882,0.6795595586299896,897024
42,0.22586659,0.0,11.27,96.94,346.3367,8682,0.12428717,1685.5187809467316,-0.06890519,0.6584716737270355,901120
38,0.24274921,0.0,11.63,101.17,381.8492,8720,0.098967515,1693.6414988040924,-0.07503694,0.6581201255321503,905216
