loss_pol_surr,EpRewMean,loss_kl,TimeElapsed,ev_tdlam_before,TimestepsSoFar,EpisodesSoFar,loss_ent,EpLenMean,EpThisIter,loss_pol_entpen,loss_vf_loss
-0.013776335,-26.24,0.0035900576,447.6575810909271,0.6404490768909454,262144,1962,5.609367,138.82,33,0.0,441.84448
-0.011867883,-35.74,0.0026360112,454.24121284484863,0.5940945446491241,266240,1987,5.6114526,145.48,25,0.0,371.37167
-0.013255109,-34.92,0.0047681425,460.8870930671692,0.5931510031223297,270336,2024,5.612496,133.82,37,0.0,454.83588
-0.011206825,-35.74,0.003957507,467.5924479961395,0.5787173509597778,274432,2057,5.6095076,130.28,33,0.0,449.55283
-0.010429177,-25.9,0.0025206679,474.5087237358093,0.6736452579498291,278528,2090,5.606017,119.58,33,0.0,468.70032
-0.011303255,-17.81,0.0032554942,481.48712396621704,0.7155176401138306,282624,2120,5.6030965,127.69,30,0.0,381.31735
-0.010006569,-23.36,0.0019868098,488.4873433113098,0.7123828828334808,286720,2155,5.6033406,123.97,35,0.0,387.2786
-0.012789512,-16.4,0.0034806782,495.42554211616516,0.6785601377487183,290816,2192,5.601888,120.76,37,0.0,406.84723
-0.0098485965,-12.44,0.0023993815,502.2471697330475,0.7353119850158691,294912,2232,5.59185,110.45,40,0.0,401.84482
-0.011807665,-17.55,0.0026362557,509.40906262397766,0.6548530161380768,299008,2272,5.588235,100.94,40,0.0,427.378
-0.01148193,-14.07,0.0036152706,516.3393561840057,0.7077072262763977,303104,2309,5.590171,104.52,37,0.0,396.97037
-0.012301059,-15.59,0.0035088707,523.2799384593964,0.7209438979625702,307200,2353,5.5791297,103.1,44,0.0,395.19412
-0.012624091,-13.98,0.004175777,529.8614234924316,0.7173157632350922,311296,2397,5.5736394,93.2,44,0.0,488.57587
-0.013512559,-25.23,0.0034189967,537.0905408859253,0.688290148973465,315392,2439,5.567384,96.02,42,0.0,560.97034
-0.012547819,-21.03,0.0032254152,543.7377696037292,0.6998039782047272,319488,2480,5.5725794,98.34,41,0.0,482.60883
-0.01224661,-28.52,0.0025339772,550.4652185440063,0.681210845708847,323584,2523,5.573545,96.27,43,0.0,483.9843
-0.012539933,-38.87,0.0030510148,557.0569863319397,0.6981832385063171,327680,2566,5.5715337,94.55,43,0.0,434.92926
-0.009792941,-20.5,0.0027864417,563.7669453620911,0.6754065155982971,331776,2614,5.5772696,88.53,48,0.0,594.6885
-0.011274222,-8.96,0.0030685337,570.4326548576355,0.7055267691612244,335872,2663,5.5767527,85.56,49,0.0,542.7422
-0.01090232,-13.68,0.0027983976,577.1465530395508,0.7412036657333374,339968,2718,5.570534,78.71,55,0.0,498.36533
-0.013840628,-20.98,0.00390439,584.409786939621,0.6545335948467255,344064,2763,5.5687556,80.71,45,0.0,458.82776
-0.011371637,-26.77,0.002679718,590.8835339546204,0.7187381982803345,348160,2815,5.5649724,86.92,52,0.0,419.66177
-0.010839945,-18.11,0.0027939873,597.7769849300385,0.7413275837898254,352256,2868,5.557129,76.45,53,0.0,572.9456
-0.012156153,-8.04,0.0036286023,604.5112578868866,0.7945451736450195,356352,2918,5.558444,77.99,50,0.0,399.33417
-0.012724401,-13.73,0.0031788973,610.8407807350159,0.6942969858646393,360448,2966,5.549651,84.6,48,0.0,497.17044
-0.014109863,-9.56,0.004681492,617.9107186794281,0.7205979526042938,364544,3010,5.552762,89.04,44,0.0,517.6107
-0.01080257,-10.78,0.0033667334,624.3140742778778,0.7368685305118561,368640,3050,5.548941,95.18,40,0.0,466.80338
-0.01349252,-13.07,0.003136767,631.43497133255,0.7511031180620193,372736,3098,5.5445447,94.74,48,0.0,425.18457
-0.011406796,-6.11,0.0027710185,638.2942931652069,0.7505758851766586,376832,3146,5.536134,86.48,48,0.0,468.90454
-0.012888026,-12.87,0.0036954305,644.9844517707825,0.7427809238433838,380928,3186,5.530509,90.26,40,0.0,403.62592
-0.013649917,-22.01,0.0049193744,652.3456165790558,0.6955050826072693,385024,3230,5.5277596,95.39,44,0.0,548.3398
-0.01324187,-24.29,0.003724862,659.4624345302582,0.7216214835643768,389120,3274,5.520589,94.73,44,0.0,430.21548
-0.013296326,-17.33,0.0038836284,666.0154993534088,0.6827982068061829,393216,3308,5.517617,99.22,34,0.0,435.30548
-0.0145785,-19.06,0.004287855,673.1006550788879,0.7306894659996033,397312,3345,5.515891,108.28,37,0.0,363.88205
-0.011809584,2.98,0.0036790972,680.1163926124573,0.7516367733478546,401408,3385,5.513092,103.64,40,0.0,434.7634
-0.013839351,5.03,0.0035357976,686.6331794261932,0.6815594732761383,405504,3424,5.5130816,106.69,39,0.0,471.37646
-0.013101286,11.68,0.0031573842,693.6839308738708,0.6989335119724274,409600,3469,5.505665,100.78,45,0.0,496.51712
-0.012139319,1.3,0.0030536142,700.278373003006,0.7329612374305725,413696,3507,5.5016165,98.56,38,0.0,456.18597
-0.0132594835,4.14,0.003933932,706.9980454444885,0.6604909300804138,417792,3552,5.500863,98.2,45,0.0,627.7605
-0.014199732,7.22,0.0037827196,714.6245427131653,0.7646955102682114,421888,3593,5.496915,96.28,41,0.0,449.57748
-0.012474406,4.65,0.0032113064,722.520402431488,0.6579464972019196,425984,3639,5.5028167,93.62,46,0.0,557.15204
-0.012277981,-3.86,0.0032842907,730.2643430233002,0.7396625876426697,430080,3689,5.500303,88.11,50,0.0,470.3957
-0.013984316,0.4,0.0034426283,738.1163742542267,0.7398486733436584,434176,3734,5.501626,84.37,45,0.0,501.05453
